implementation,ticket_id,scenario,run_index,schema_success,category_actual,category_expected,category_match,urgency_actual,urgency_expected,urgency_match,team_actual,team_expected,team_match,needs_human_review_actual,needs_human_review_expected,needs_human_review_match,all_expected_labels_match,end_to_end_success
baml,T007,data_loss_concern,3,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T007,data_loss_concern,4,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T007,data_loss_concern,5,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
baml,T008,integration_failure,1,1,integration_failure,integration_failure,1,medium,high,0,engineering,engineering,1,true,true,1,0,0
baml,T008,integration_failure,2,1,integration_failure,integration_failure,1,medium,high,0,engineering,engineering,1,true,true,1,0,0
baml,T008,integration_failure,3,1,integration_failure,integration_failure,1,medium,high,0,engineering,engineering,1,true,true,1,0,0
baml,T008,integration_failure,4,1,integration_failure,integration_failure,1,medium,high,0,engineering,engineering,1,true,true,1,0,0
baml,T008,integration_failure,5,1,integration_failure,integration_failure,1,medium,high,0,engineering,engineering,1,true,true,1,0,0
baml,T009,performance_degradation,1,1,performance,performance,1,medium,high,0,engineering,engineering,1,false,true,0,0,0
baml,T009,performance_degradation,2,1,performance,performance,1,medium,high,0,engineering,engineering,1,false,true,0,0,0
baml,T009,performance_degradation,3,1,performance,performance,1,medium,high,0,engineering,engineering,1,false,true,0,0,0
baml,T009,performance_degradation,4,1,performance,performance,1,medium,high,0,engineering,engineering,1,false,true,0,0,0
baml,T009,performance_degradation,5,1,performance,performance,1,medium,high,0,engineering,engineering,1,false,true,0,0,0
baml,T010,account_access_issue,1,1,account_access,account_access,1,medium,medium,1,customer_success,support,0,true,false,0,0,0
baml,T010,account_access_issue,2,1,account_access,account_access,1,medium,medium,1,customer_success,support,0,true,false,0,0,0
baml,T010,account_access_issue,3,1,account_access,account_access,1,medium,medium,1,support,support,1,false,false,1,1,1
baml,T010,account_access_issue,4,1,account_access,account_access,1,low,medium,0,customer_success,support,0,false,false,1,0,0
baml,T010,account_access_issue,5,1,account_access,account_access,1,medium,medium,1,support,support,1,false,false,1,1,1
baml,T011,compliance_privacy_concern,1,1,compliance_privacy,compliance_privacy,1,low,high,0,compliance,compliance,1,true,true,1,0,0
baml,T011,compliance_privacy_concern,2,1,compliance_privacy,compliance_privacy,1,low,high,0,compliance,compliance,1,true,true,1,0,0
baml,T011,compliance_privacy_concern,3,1,compliance_privacy,compliance_privacy,1,low,high,0,compliance,compliance,1,true,true,1,0,0
baml,T011,compliance_privacy_concern,4,1,compliance_privacy,compliance_privacy,1,low,high,0,compliance,compliance,1,true,true,1,0,0
baml,T011,compliance_privacy_concern,5,1,compliance_privacy,compliance_privacy,1,low,high,0,compliance,compliance,1,true,true,1,0,0
baml,T012,low_priority_how_to,1,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
baml,T012,low_priority_how_to,2,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
baml,T012,low_priority_how_to,3,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
baml,T012,low_priority_how_to,4,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
baml,T012,low_priority_how_to,5,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_structured,T001,clean_product_bug,1,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
openai_structured,T001,clean_product_bug,2,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_structured,T001,clean_product_bug,3,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
openai_structured,T001,clean_product_bug,4,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
openai_structured,T001,clean_product_bug,5,1,bug,bug,1,high,medium,0,engineering,engineering,1,false,false,1,0,0
openai_structured,T002,enterprise_outage_renewal_pressure,1,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_structured,T002,enterprise_outage_renewal_pressure,2,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_structured,T002,enterprise_outage_renewal_pressure,3,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_structured,T002,enterprise_outage_renewal_pressure,4,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_structured,T002,enterprise_outage_renewal_pressure,5,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_structured,T003,vague_complaint_missing_info,1,1,outage,unclear,0,critical,medium,0,engineering,support,0,true,true,1,0,0
openai_structured,T003,vague_complaint_missing_info,2,1,outage,unclear,0,critical,medium,0,engineering,support,0,true,true,1,0,0
openai_structured,T003,vague_complaint_missing_info,3,1,outage,unclear,0,critical,medium,0,engineering,support,0,true,true,1,0,0
openai_structured,T003,vague_complaint_missing_info,4,1,outage,unclear,0,critical,medium,0,engineering,support,0,true,true,1,0,0
openai_structured,T003,vague_complaint_missing_info,5,1,outage,unclear,0,critical,medium,0,support,support,1,true,true,1,0,0
openai_structured,T004,billing_dispute,1,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_structured,T004,billing_dispute,2,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_structured,T004,billing_dispute,3,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_structured,T004,billing_dispute,4,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_structured,T004,billing_dispute,5,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_structured,T005,security_report,1,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_structured,T005,security_report,2,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_structured,T005,security_report,3,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_structured,T005,security_report,4,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_structured,T005,security_report,5,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_structured,T006,feature_request,1,1,feature_request,feature_request,1,low,low,1,customer_success,customer_success,1,false,false,1,1,1
openai_structured,T006,feature_request,2,1,feature_request,feature_request,1,low,low,1,customer_success,customer_success,1,false,false,1,1,1
openai_structured,T006,feature_request,3,1,feature_request,feature_request,1,low,low,1,customer_success,customer_success,1,false,false,1,1,1
openai_structured,T006,feature_request,4,1,feature_request,feature_request,1,low,low,1,customer_success,customer_success,1,false,false,1,1,1
openai_structured,T006,feature_request,5,1,feature_request,feature_request,1,low,low,1,customer_success,customer_success,1,false,false,1,1,1
openai_structured,T007,data_loss_concern,1,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T007,data_loss_concern,2,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T007,data_loss_concern,3,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T007,data_loss_concern,4,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T007,data_loss_concern,5,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T008,integration_failure,1,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T008,integration_failure,2,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T008,integration_failure,3,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T008,integration_failure,4,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T008,integration_failure,5,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_structured,T009,performance_degradation,1,1,performance,performance,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T009,performance_degradation,2,1,performance,performance,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T009,performance_degradation,3,1,performance,performance,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T009,performance_degradation,4,1,performance,performance,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T009,performance_degradation,5,1,performance,performance,1,high,high,1,engineering,engineering,1,false,true,0,0,0
openai_structured,T010,account_access_issue,1,1,account_access,account_access,1,high,medium,0,support,support,1,false,false,1,0,0
openai_structured,T010,account_access_issue,2,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_structured,T010,account_access_issue,3,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_structured,T010,account_access_issue,4,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_structured,T010,account_access_issue,5,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_structured,T011,compliance_privacy_concern,1,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_structured,T011,compliance_privacy_concern,2,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_structured,T011,compliance_privacy_concern,3,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_structured,T011,compliance_privacy_concern,4,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_structured,T011,compliance_privacy_concern,5,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_structured,T012,low_priority_how_to,1,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_structured,T012,low_priority_how_to,2,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_structured,T012,low_priority_how_to,3,1,how_to,how_to,1,low,low,1,customer_success,support,0,false,false,1,0,0
openai_structured,T012,low_priority_how_to,4,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_structured,T012,low_priority_how_to,5,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_json,T001,clean_product_bug,1,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_json,T001,clean_product_bug,2,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_json,T001,clean_product_bug,3,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_json,T001,clean_product_bug,4,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_json,T001,clean_product_bug,5,1,bug,bug,1,high,medium,0,engineering,engineering,1,true,false,0,0,0
openai_json,T002,enterprise_outage_renewal_pressure,1,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_json,T002,enterprise_outage_renewal_pressure,2,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_json,T002,enterprise_outage_renewal_pressure,3,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_json,T002,enterprise_outage_renewal_pressure,4,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_json,T002,enterprise_outage_renewal_pressure,5,1,integration_failure,outage,0,critical,critical,1,engineering,engineering,1,true,true,1,0,0
openai_json,T003,vague_complaint_missing_info,1,1,bug,unclear,0,critical,medium,0,engineering,support,0,true,true,1,0,0
openai_json,T003,vague_complaint_missing_info,2,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
openai_json,T003,vague_complaint_missing_info,3,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
openai_json,T003,vague_complaint_missing_info,4,1,unclear,unclear,1,high,medium,0,support,support,1,true,true,1,0,0
openai_json,T003,vague_complaint_missing_info,5,1,unclear,unclear,1,high,medium,0,engineering,support,0,true,true,1,0,0
openai_json,T004,billing_dispute,1,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_json,T004,billing_dispute,2,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_json,T004,billing_dispute,3,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_json,T004,billing_dispute,4,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_json,T004,billing_dispute,5,1,billing,billing,1,high,high,1,billing,billing,1,true,true,1,1,1
openai_json,T005,security_report,1,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_json,T005,security_report,2,1,security,security,1,high,critical,0,security,security,1,true,true,1,0,0
openai_json,T005,security_report,3,1,security,security,1,high,critical,0,security,security,1,true,true,1,0,0
openai_json,T005,security_report,4,1,security,security,1,high,critical,0,security,security,1,true,true,1,0,0
openai_json,T005,security_report,5,1,security,security,1,critical,critical,1,security,security,1,true,true,1,1,1
openai_json,T006,feature_request,1,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
openai_json,T006,feature_request,2,1,feature_request,feature_request,1,low,low,1,engineering,customer_success,0,true,false,0,0,0
openai_json,T006,feature_request,3,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,true,false,0,0,0
openai_json,T006,feature_request,4,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
openai_json,T006,feature_request,5,1,feature_request,feature_request,1,low,low,1,support,customer_success,0,false,false,1,0,0
openai_json,T007,data_loss_concern,1,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_json,T007,data_loss_concern,2,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_json,T007,data_loss_concern,3,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_json,T007,data_loss_concern,4,1,data_loss,data_loss,1,critical,critical,1,engineering,engineering,1,true,true,1,1,1
openai_json,T007,data_loss_concern,5,1,data_loss,data_loss,1,high,critical,0,engineering,engineering,1,true,true,1,0,0
openai_json,T008,integration_failure,1,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T008,integration_failure,2,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T008,integration_failure,3,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T008,integration_failure,4,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T008,integration_failure,5,1,integration_failure,integration_failure,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T009,performance_degradation,1,1,performance,performance,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T009,performance_degradation,2,1,performance,performance,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T009,performance_degradation,3,1,performance,performance,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T009,performance_degradation,4,1,performance,performance,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T009,performance_degradation,5,1,performance,performance,1,high,high,1,engineering,engineering,1,true,true,1,1,1
openai_json,T010,account_access_issue,1,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_json,T010,account_access_issue,2,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_json,T010,account_access_issue,3,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_json,T010,account_access_issue,4,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_json,T010,account_access_issue,5,1,account_access,account_access,1,high,medium,0,support,support,1,true,false,0,0,0
openai_json,T011,compliance_privacy_concern,1,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_json,T011,compliance_privacy_concern,2,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_json,T011,compliance_privacy_concern,3,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_json,T011,compliance_privacy_concern,4,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_json,T011,compliance_privacy_concern,5,1,compliance_privacy,compliance_privacy,1,medium,high,0,compliance,compliance,1,true,true,1,0,0
openai_json,T012,low_priority_how_to,1,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_json,T012,low_priority_how_to,2,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_json,T012,low_priority_how_to,3,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_json,T012,low_priority_how_to,4,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
openai_json,T012,low_priority_how_to,5,1,how_to,how_to,1,low,low,1,support,support,1,false,false,1,1,1
